,id,first_reviewer_discarded,second_reviewer_discarded
0,1158,TRUE,TRUE
1,1037,TRUE,FALSE
2,1489,TRUE,TRUE
3,273,TRUE,FALSE
4,394,TRUE,TRUE
5,758,TRUE,TRUE
6,1128,TRUE,TRUE
7,1284,TRUE,FALSE
8,424,TRUE,TRUE
9,406,TRUE,FALSE
10,1136,TRUE,FALSE
11,946,TRUE,FALSE
12,176,TRUE,FALSE
13,576,TRUE,FALSE
14,849,TRUE,FALSE
15,292,TRUE,TRUE
16,1307,TRUE,TRUE
17,1366,TRUE,FALSE
18,22,TRUE,TRUE
19,156,TRUE,FALSE
20,932,TRUE,TRUE
21,1273,TRUE,FALSE
22,1475,TRUE,TRUE
23,1235,TRUE,FALSE
24,173,TRUE,TRUE
25,733,TRUE,FALSE
26,42,FALSE,FALSE
27,1263,TRUE,FALSE
28,161,TRUE,TRUE
29,1426,TRUE,TRUE
30,1308,TRUE,TRUE
31,1431,TRUE,FALSE
32,1258,TRUE,FALSE
33,1372,TRUE,TRUE
34,632,TRUE,TRUE
35,1444,TRUE,FALSE
36,440,TRUE,TRUE
37,1422,TRUE,FALSE
38,1004,TRUE,FALSE
39,1415,TRUE,TRUE
40,349,TRUE,TRUE
41,187,TRUE,TRUE
42,794,TRUE,TRUE
43,914,TRUE,FALSE
44,1368,TRUE,FALSE
45,1119,TRUE,FALSE
46,506,TRUE,TRUE
47,508,TRUE,TRUE
48,1416,TRUE,FALSE
49,1262,TRUE,FALSE
50,357,TRUE,TRUE
51,1194,TRUE,TRUE
52,1463,TRUE,FALSE
53,1468,TRUE,FALSE
54,315,TRUE,TRUE
55,1486,TRUE,FALSE
56,1030,TRUE,FALSE
57,305,TRUE,TRUE
58,4,TRUE,TRUE
59,181,TRUE,FALSE
60,96,FALSE,FALSE
61,1312,TRUE,TRUE
62,1484,TRUE,TRUE
63,1039,TRUE,FALSE
64,1201,TRUE,TRUE
65,631,TRUE,TRUE
66,1314,TRUE,TRUE
67,107,FALSE,FALSE
68,1148,TRUE,TRUE
69,822,TRUE,FALSE
70,920,TRUE,FALSE
71,1058,TRUE,FALSE
72,219,TRUE,TRUE
73,175,TRUE,TRUE
74,363,TRUE,FALSE
75,1432,TRUE,TRUE
76,523,TRUE,FALSE
77,1319,TRUE,FALSE
78,487,TRUE,FALSE
79,1053,TRUE,TRUE
80,1190,TRUE,FALSE
81,1452,TRUE,TRUE
82,128,FALSE,FALSE
83,735,TRUE,FALSE
84,924,TRUE,FALSE
85,410,TRUE,FALSE
86,152,TRUE,TRUE
87,1216,TRUE,FALSE
88,428,TRUE,FALSE
89,1140,TRUE,TRUE
90,1279,TRUE,TRUE
91,1403,TRUE,TRUE
92,222,TRUE,TRUE
93,1006,TRUE,FALSE
94,651,TRUE,TRUE
95,359,TRUE,FALSE
96,1005,TRUE,FALSE
97,193,TRUE,TRUE
98,1449,TRUE,TRUE
99,1098,TRUE,FALSE
100,548,TRUE,TRUE
101,922,TRUE,TRUE
102,1212,TRUE,TRUE
103,453,TRUE,TRUE
104,1087,TRUE,FALSE
105,186,TRUE,TRUE
106,1457,TRUE,FALSE
107,886,TRUE,FALSE
108,779,TRUE,FALSE
109,1231,TRUE,FALSE
110,1276,TRUE,FALSE
111,110,FALSE,FALSE
112,811,TRUE,FALSE
113,557,TRUE,TRUE
114,1189,TRUE,TRUE
115,58,FALSE,FALSE
116,1474,TRUE,TRUE
117,623,TRUE,FALSE
118,485,TRUE,FALSE
119,850,TRUE,FALSE
120,294,TRUE,FALSE
121,1439,TRUE,FALSE
122,1081,TRUE,FALSE
123,1102,TRUE,FALSE
124,1453,TRUE,TRUE
125,382,TRUE,TRUE
126,258,TRUE,TRUE
127,341,TRUE,FALSE
128,483,TRUE,TRUE
129,450,TRUE,FALSE
130,513,TRUE,FALSE
131,473,TRUE,TRUE
132,69,FALSE,FALSE
133,1259,TRUE,FALSE
134,379,TRUE,TRUE
135,320,TRUE,FALSE
136,679,TRUE,FALSE
137,983,TRUE,FALSE
138,976,TRUE,FALSE
139,729,TRUE,TRUE
140,680,TRUE,TRUE
141,1365,TRUE,TRUE
142,589,TRUE,FALSE
143,127,FALSE,FALSE
144,522,TRUE,FALSE
145,1079,TRUE,TRUE
146,575,TRUE,FALSE
147,816,TRUE,TRUE
148,1141,TRUE,FALSE
149,1329,TRUE,TRUE
150,1398,TRUE,FALSE
151,1447,TRUE,FALSE
152,676,TRUE,TRUE
153,507,TRUE,TRUE
154,1094,TRUE,TRUE
155,214,TRUE,TRUE
156,1481,TRUE,FALSE
157,741,TRUE,FALSE
158,716,TRUE,TRUE
159,1336,TRUE,FALSE
160,457,TRUE,FALSE
161,592,TRUE,TRUE
162,1440,TRUE,TRUE
163,95,FALSE,FALSE
164,281,TRUE,FALSE
165,519,TRUE,TRUE
166,1203,TRUE,FALSE
167,288,TRUE,TRUE
168,21,TRUE,TRUE
169,3,TRUE,TRUE
170,1038,TRUE,TRUE
171,927,TRUE,FALSE
172,1027,TRUE,TRUE
173,981,TRUE,FALSE
174,921,TRUE,TRUE
175,774,TRUE,FALSE
176,1385,TRUE,TRUE
177,398,TRUE,FALSE
178,249,TRUE,TRUE
179,1233,TRUE,TRUE
180,165,TRUE,FALSE
181,1217,TRUE,FALSE
182,639,TRUE,TRUE
183,296,TRUE,FALSE
184,1267,TRUE,TRUE
185,937,TRUE,FALSE
186,868,TRUE,FALSE
187,34,FALSE,FALSE
188,418,TRUE,TRUE
189,947,TRUE,TRUE
190,978,TRUE,FALSE
191,1229,TRUE,FALSE
192,1411,TRUE,TRUE
193,67,FALSE,FALSE
194,1326,TRUE,FALSE
195,1084,TRUE,TRUE
196,1020,TRUE,FALSE
197,325,TRUE,FALSE
198,895,TRUE,FALSE
199,1060,TRUE,FALSE
200,387,TRUE,TRUE
201,443,TRUE,TRUE
202,1017,TRUE,TRUE
203,484,TRUE,FALSE
204,1224,TRUE,TRUE
205,1051,TRUE,TRUE
206,1209,TRUE,TRUE
207,393,TRUE,TRUE
208,1424,TRUE,FALSE
209,1428,TRUE,TRUE
210,312,TRUE,TRUE
211,1151,TRUE,TRUE
212,862,TRUE,FALSE
213,1185,TRUE,TRUE
214,469,TRUE,FALSE
215,662,TRUE,TRUE
