id,category,label,link
1,COMMIT,software quality -> refactoring,https://github.com/kmskrishna/gdn/commit/4bf58561f39cf547d3e754826300bc5189343650
3,COMMIT,documentation -> generating readme,https://github.com/barnesoir/chatgpt-vscode-plugin/commit/3f65bd7ffcb85e56f2f37fce93e603ecf11acd60
4,COMMIT,generating/manipulating data,https://github.com/triptych/opera-omnia/commit/b564f5993b4ee4a7a3e620e273868ac402927e43
6,COMMIT,software quality -> refactoring,https://github.com/pionxzh/chatgpt-exporter/commit/f57b891c8177e7f81509b517cd4f12b0f2f46313
7,COMMIT,software quality -> refactoring,https://github.com/pionxzh/chatgpt-exporter/commit/f244b0338cc91ea56c8d45339b02f4ccb349f72c
8,COMMIT,software quality -> fixing -> functional bugs,https://github.com/tooot-app/app/commit/c89612d87510fb389bfec4708fa64e9f71a91f08
12,COMMIT,documentation -> generating code comments,https://github.com/dawangraoming/chatgpt-telegram-bot/commit/5ecbff0b73dcbb852d33e8267da5abeda5006938
16,COMMIT,software quality -> code review,https://github.com/kkdai/chatgpt/commit/e4faf23cec9a9abfa72de372eaced6ae8cd2bdff
17,COMMIT,software quality -> refactoring,https://github.com/kkdai/chatgpt/commit/227048c488ab05a8320cd5e0e8164d29e60fb870
21,COMMIT,software quality -> fixing -> functional bugs,https://github.com/elastic/cloudbeat/commit/d9b50699e9334b614d0efff5c6f50de4dd3d76c5
22,COMMIT,documentation -> generating user guide,https://github.com/sebastienbarbier/seven23/commit/e8c57640481516a86036e354ebffa53642235d67
23,COMMIT,software quality -> refactoring,https://github.com/dotabod/backend/commit/c481fe6f2e396a6f073e07d9100cafede28ad261
24,COMMIT,documentation -> generating code comments,https://github.com/alexlib/pivpy/commit/dfb9bdcf42fbecbf5267bcb1780b104d3d7aa31f
98,COMMIT,documentation -> generating code comments,https://github.com/stakwork/sphinx-relay/commit/892d093fe46396de37417df63ab295963d34f4d5
150,COMMIT,documentation -> improving writing,https://github.com/minskylab/blob/commit/e1b13c5565057a7ec1c221f92e2d09fd56322b16
151,COMMIT,documentation -> generating code comments,https://github.com/dmarx/keyframed/commit/aec9b27a513b688057335e4332bd8dd5c005a897
153,COMMIT,documentation -> generating code comments,https://github.com/c9s/bbgo/commit/2b6261651300e87340ec82fc70e36dd3a774b66a
154,COMMIT,documentation -> improving writing,https://github.com/esteinmann/chatgpt-convdown/commit/e76b9bbd0c56317a083fcca9814b2411a8ad3c97
155,COMMIT,documentation -> improving writing,https://github.com/chhoumann/quickadd/commit/8bc00c7331fff688cafa1948c32da795feb176f7
157,COMMIT,software quality -> refactoring,https://github.com/dotabod/backend/commit/f0051e5a66e33510dbbe0b4cf8fc034e02d803ab
158,COMMIT,"software quality -> fixing -> functional bugs,software quality -> refactoring",https://github.com/dotabod/backend/commit/b2811d7c1aa28733082e0c0dd8c22a317c5f1cf4
